RangeTimesDirCount,Direction,SpeedRange [km/h],Frequency
0,0,<1.0,4985.0
1,10,<1.0,125.0
2,20,<1.0,116.0
3,30,<1.0,122.0
4,40,<1.0,113.0
5,50,<1.0,106.0
6,60,<1.0,122.0
7,70,<1.0,128.0
8,80,<1.0,134.0
9,90,<1.0,135.0
10,100,<1.0,131.0
11,110,<1.0,106.0
12,120,<1.0,120.0
13,130,<1.0,134.0
14,140,<1.0,126.0
15,150,<1.0,135.0
16,160,<1.0,115.0
17,170,<1.0,122.0
18,180,<1.0,126.0
19,190,<1.0,116.0
20,200,<1.0,143.0
21,210,<1.0,130.0
22,220,<1.0,121.0
23,230,<1.0,153.0
24,240,<1.0,120.0
25,250,<1.0,120.0
26,260,<1.0,150.0
27,270,<1.0,156.0
28,280,<1.0,137.0
29,290,<1.0,159.0
30,300,<1.0,141.0
31,310,<1.0,153.0
32,320,<1.0,160.0
33,330,<1.0,155.0
34,340,<1.0,136.0
35,350,<1.0,153.0
36,0,1.0-5.0,4543.0
37,10,1.0-5.0,4618.0
38,20,1.0-5.0,4397.0
39,30,1.0-5.0,4203.0
40,40,1.0-5.0,4065.0
41,50,1.0-5.0,4516.0
42,60,1.0-5.0,5343.0
43,70,1.0-5.0,6748.0
44,80,1.0-5.0,6545.0
45,90,1.0-5.0,5547.0
46,100,1.0-5.0,5011.0
47,110,1.0-5.0,4760.0
48,120,1.0-5.0,4293.0
49,130,1.0-5.0,3874.0
50,140,1.0-5.0,3663.0
51,150,1.0-5.0,4095.0
52,160,1.0-5.0,5153.0
53,170,1.0-5.0,5862.0
54,180,1.0-5.0,5841.0
55,190,1.0-5.0,5070.0
56,200,1.0-5.0,4881.0
57,210,1.0-5.0,5575.0
58,220,1.0-5.0,6376.0
59,230,1.0-5.0,6892.0
60,240,1.0-5.0,6977.0
61,250,1.0-5.0,7036.0
62,260,1.0-5.0,6717.0
63,270,1.0-5.0,6134.0
64,280,1.0-5.0,5456.0
65,290,1.0-5.0,5115.0
66,300,1.0-5.0,5195.0
67,310,1.0-5.0,5186.0
68,320,1.0-5.0,4673.0
69,330,1.0-5.0,4754.0
70,340,1.0-5.0,4901.0
71,350,1.0-5.0,4756.0
72,0,5.0-12.0,13361.0
73,10,5.0-12.0,11681.0
74,20,5.0-12.0,9618.0
75,30,5.0-12.0,9277.0
76,40,5.0-12.0,12601.0
77,50,5.0-12.0,21738.0
78,60,5.0-12.0,27316.0
79,70,5.0-12.0,31933.0
80,80,5.0-12.0,40059.0
81,90,5.0-12.0,33881.0
82,100,5.0-12.0,23110.0
83,110,5.0-12.0,18446.0
84,120,5.0-12.0,15143.0
85,130,5.0-12.0,12701.0
86,140,5.0-12.0,11056.0
87,150,5.0-12.0,9082.0
88,160,5.0-12.0,10183.0
89,170,5.0-12.0,13822.0
90,180,5.0-12.0,16361.0
91,190,5.0-12.0,15700.0
92,200,5.0-12.0,23507.0
93,210,5.0-12.0,27000.0
94,220,5.0-12.0,23817.0
95,230,5.0-12.0,33533.0
96,240,5.0-12.0,46031.0
97,250,5.0-12.0,37221.0
98,260,5.0-12.0,34911.0
99,270,5.0-12.0,25353.0
100,280,5.0-12.0,20879.0
101,290,5.0-12.0,23715.0
102,300,5.0-12.0,19240.0
103,310,5.0-12.0,17568.0
