Months,Mean,Max
Jan,3.0885480572597137,5.289825119236884
Feb,3.20278396549795,5.217008379930596
Mar,3.2397913227589177,5.582627475769069
Apr,2.8748943231117208,4.887241623150566
May,2.801462245520807,4.8030525705857565
Jun,2.606527934768957,4.472741970407795
Jul,2.6649684790807253,4.579998329946837
Aug,2.446083611852792,4.156431431082344
Sep,2.434980720353315,4.019618650810873
Oct,2.4531567224129116,3.9605365147231226
Nov,2.615021834874345,4.355860320387231
Dec,2.9060448313384115,4.894806447169032
