RangeTimesDirCount,Direction,SpeedRange [m/s],Frequency
0,N,<2.5,94000.0
1,NE,<2.5,126854.0
2,E,<2.5,157936.0
3,SE,<2.5,57091.0
4,S,<2.5,96496.0
5,SW,<2.5,112261.0
6,W,<2.5,105408.0
7,NW,<2.5,56908.0
8,N,2.5-5.0,21637.0
9,NE,2.5-5.0,48466.0
10,E,2.5-5.0,102879.0
11,SE,2.5-5.0,7267.0
12,S,2.5-5.0,21654.0
13,SW,2.5-5.0,75837.0
14,W,2.5-5.0,160613.0
15,NW,2.5-5.0,37692.0
16,N,5.0-7.5,1944.0
17,NE,5.0-7.5,3772.0
18,E,5.0-7.5,27249.0
19,SE,5.0-7.5,530.0
20,S,5.0-7.5,1233.0
21,SW,5.0-7.5,24530.0
22,W,5.0-7.5,92640.0
23,NW,5.0-7.5,11103.0
24,N,7.5-10.0,124.0
25,NE,7.5-10.0,146.0
26,E,7.5-10.0,3967.0
27,SE,7.5-10.0,59.0
28,S,7.5-10.0,90.0
29,SW,7.5-10.0,8528.0
30,W,7.5-10.0,41370.0
31,NW,7.5-10.0,2076.0
32,N,10.0-12.5,9.0
33,NE,10.0-12.5,6.0
34,E,10.0-12.5,438.0
35,SE,10.0-12.5,9.0
36,S,10.0-12.5,9.0
37,SW,10.0-12.5,3290.0
38,W,10.0-12.5,15230.0
39,NW,10.0-12.5,380.0
40,N,12.5-15.0,0.0
41,NE,12.5-15.0,0.0
42,E,12.5-15.0,15.0
43,SE,12.5-15.0,5.0
44,S,12.5-15.0,2.0
45,SW,12.5-15.0,1121.0
46,W,12.5-15.0,4569.0
47,NW,12.5-15.0,73.0
48,N,15.0-17.5,0.0
49,NE,15.0-17.5,0.0
50,E,15.0-17.5,2.0
51,SE,15.0-17.5,0.0
52,S,15.0-17.5,0.0
53,SW,15.0-17.5,358.0
54,W,15.0-17.5,1142.0
55,NW,15.0-17.5,5.0
56,N,17.5>,0.0
57,NE,17.5>,0.0
58,E,17.5>,0.0
59,SE,17.5>,0.0
60,S,17.5>,0.0
61,SW,17.5>,100.0
62,W,17.5>,271.0
63,NW,17.5>,5.0
