RangeTimesDirCount,Direction,SpeedRange [m/s],Frequency
0,N,<2.5,69297.0
1,NE,<2.5,62794.0
2,E,<2.5,124340.0
3,SE,<2.5,49672.0
4,S,<2.5,85102.0
5,SW,<2.5,107331.0
6,W,<2.5,108036.0
7,NW,<2.5,57956.0
8,N,2.5-5.0,24041.0
9,NE,2.5-5.0,43092.0
10,E,2.5-5.0,81887.0
11,SE,2.5-5.0,19725.0
12,S,2.5-5.0,25209.0
13,SW,2.5-5.0,75617.0
14,W,2.5-5.0,144744.0
15,NW,2.5-5.0,46449.0
16,N,5.0-7.5,778.0
17,NE,5.0-7.5,2915.0
18,E,5.0-7.5,7462.0
19,SE,5.0-7.5,976.0
20,S,5.0-7.5,461.0
21,SW,5.0-7.5,11363.0
22,W,5.0-7.5,61590.0
23,NW,5.0-7.5,7086.0
24,N,7.5-10.0,20.0
25,NE,7.5-10.0,27.0
26,E,7.5-10.0,201.0
27,SE,7.5-10.0,31.0
28,S,7.5-10.0,25.0
29,SW,7.5-10.0,2247.0
30,W,7.5-10.0,17112.0
31,NW,7.5-10.0,720.0
32,N,10.0-12.5,0.0
33,NE,10.0-12.5,0.0
34,E,10.0-12.5,0.0
35,SE,10.0-12.5,3.0
36,S,10.0-12.5,1.0
37,SW,10.0-12.5,369.0
38,W,10.0-12.5,3297.0
39,NW,10.0-12.5,81.0
40,N,12.5-15.0,0.0
41,NE,12.5-15.0,0.0
42,E,12.5-15.0,0.0
43,SE,12.5-15.0,0.0
44,S,12.5-15.0,0.0
45,SW,12.5-15.0,42.0
46,W,12.5-15.0,358.0
47,NW,12.5-15.0,8.0
48,N,15.0-17.5,0.0
49,NE,15.0-17.5,0.0
50,E,15.0-17.5,0.0
51,SE,15.0-17.5,0.0
52,S,15.0-17.5,0.0
53,SW,15.0-17.5,2.0
54,W,15.0-17.5,35.0
55,NW,15.0-17.5,1.0
56,N,17.5>,2.0
57,NE,17.5>,0.0
58,E,17.5>,1.0
59,SE,17.5>,0.0
60,S,17.5>,3.0
61,SW,17.5>,2.0
62,W,17.5>,2.0
63,NW,17.5>,1.0
