RangeTimesDirCount,Direction,SpeedRange [m/s],Frequency
0,0,<2.5,30584.0
1,10,<2.5,16531.0
2,20,<2.5,18864.0
3,30,<2.5,23985.0
4,40,<2.5,29593.0
5,50,<2.5,35567.0
6,60,<2.5,37709.0
7,70,<2.5,38581.0
8,80,<2.5,37176.0
9,90,<2.5,33393.0
10,100,<2.5,27276.0
11,110,<2.5,21510.0
12,120,<2.5,17446.0
13,130,<2.5,14196.0
14,140,<2.5,12798.0
15,150,<2.5,12651.0
16,160,<2.5,13144.0
17,170,<2.5,15453.0
18,180,<2.5,18612.0
19,190,<2.5,22428.0
20,200,<2.5,26859.0
21,210,<2.5,30668.0
22,220,<2.5,28578.0
23,230,<2.5,27219.0
24,240,<2.5,25796.0
25,250,<2.5,25012.0
26,260,<2.5,25150.0
27,270,<2.5,22740.0
28,280,<2.5,17726.0
29,290,<2.5,14780.0
30,300,<2.5,13957.0
31,310,<2.5,13987.0
32,320,<2.5,14684.0
33,330,<2.5,14280.0
34,340,<2.5,13722.0
35,350,<2.5,14299.0
36,0,2.5-5.0,4132.0
37,10,2.5-5.0,3517.0
38,20,2.5-5.0,4098.0
39,30,2.5-5.0,6859.0
40,40,2.5-5.0,10495.0
41,50,2.5-5.0,14542.0
42,60,2.5-5.0,16570.0
43,70,2.5-5.0,22460.0
44,80,2.5-5.0,30437.0
45,90,2.5-5.0,26415.0
46,100,2.5-5.0,15915.0
47,110,2.5-5.0,7652.0
48,120,2.5-5.0,3023.0
49,130,2.5-5.0,1500.0
50,140,2.5-5.0,1232.0
51,150,2.5-5.0,1512.0
52,160,2.5-5.0,1847.0
53,170,2.5-5.0,2773.0
54,180,2.5-5.0,4528.0
55,190,2.5-5.0,5639.0
56,200,2.5-5.0,6867.0
57,210,2.5-5.0,8993.0
58,220,2.5-5.0,12489.0
59,230,2.5-5.0,21753.0
60,240,2.5-5.0,32602.0
61,250,2.5-5.0,43902.0
62,260,2.5-5.0,47310.0
63,270,2.5-5.0,32099.0
64,280,2.5-5.0,21879.0
65,290,2.5-5.0,15423.0
66,300,2.5-5.0,11590.0
67,310,2.5-5.0,10188.0
68,320,2.5-5.0,9021.0
69,330,2.5-5.0,6893.0
70,340,2.5-5.0,5268.0
71,350,2.5-5.0,4622.0
72,0,5.0-7.5,323.0
73,10,5.0-7.5,248.0
74,20,5.0-7.5,224.0
75,30,5.0-7.5,303.0
76,40,5.0-7.5,565.0
77,50,5.0-7.5,982.0
78,60,5.0-7.5,1922.0
79,70,5.0-7.5,5159.0
80,80,5.0-7.5,10401.0
81,90,5.0-7.5,7925.0
82,100,5.0-7.5,2949.0
83,110,5.0-7.5,815.0
84,120,5.0-7.5,174.0
85,130,5.0-7.5,111.0
86,140,5.0-7.5,137.0
87,150,5.0-7.5,108.0
88,160,5.0-7.5,145.0
89,170,5.0-7.5,150.0
90,180,5.0-7.5,222.0
91,190,5.0-7.5,242.0
